Comment,Designator,Footprint,LCSC
"18pF","C1,C2,C17,C21","Redhill_lib:C_0402_1005Metric","C1549"
"0.1uF","C3,C4,C5,C6,C7,C8,C12,C13,C14,C16,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33","Redhill_lib:C_0402_1005Metric","C1525"
"1nF","C35,C36","Redhill_lib:C_0402_1005Metric","C1523"
"1uF","C18,C19,C20,C29,C34,C37,C38,C40,C42,C43","Redhill_lib:C_0402_1005Metric","C52923"
"10uF","C9,C10,C11,C15,C39,C41","Redhill_lib:C_0603_1608Metric","C96446"
"LTST-C190GKT","D2","Redhill_lib:LED_0603_1608Metric","C125093"
"LTST-C190KFKT","D3","Redhill_lib:LED_0603_1608Metric","C157740"
"LTST-C190TBKT","D4","Redhill_lib:LED_0603_1608Metric","C125096"
"DT1240A-08LP3810","D5","Redhill_lib:UDFN-9_1.0x3.8mm_P0.5mm","C526598"
"SP0504BAJT","D6,D7","Redhill_lib:SOT-353_SC-70-5","C5116451"
"LED_DUAL_RED_GREEN_LTST-C235KGKRKT","D8","Redhill_lib:LED_LiteOn_LTST-C155GEKT","C913080"
"6A, 33Ohm @100MHz","FB1,FB2","Redhill_lib:R_1206_3216Metric","C74090"
"BLM15AG601SN1D","FB3,FB4,FB5,FB6,FB7,FB8","Redhill_lib:R_0402_1005Metric","C76884"
"MountingHole","H1,H2","MountingHole:MountingHole_2.5mm",""
"USB_C_Receptacle_USB2.0","J1","Redhill_lib:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","C3025063"
"CONN_Header_2Pin_2.54mmPitch","J3","Redhill_lib:Header_2Pin_Pitch2.54mm_Drill0.8mm","C5116481"
"CONN_USB4155_USB_C_Plug","J5","Redhill_lib:GCT_USB4155-03-C_REVA","C5183853"
"ARM_SWD_SERIAL_10","J4,J6","Redhill_lib:PinHeader_2x05_P1.27mm_Vertical_SMD","C2874168"
"2N7002","Q1,Q2,Q3,Q4","Redhill_lib:SOT-23","C5224215"
"1M","R1","Redhill_lib:R_0402_1005Metric","C138033"
"27","R12,R13,R21","Redhill_lib:R_0402_1005Metric","C5151586"
"100","R16,R17,R19,R25,R29,R52","Redhill_lib:R_0402_1005Metric","C471762"
"0","R2","Redhill_lib:R_0402_1005Metric","C17168"
"56k","R3,R4,R6,R22,R44,R51","Redhill_lib:R_0402_1005Metric","C25796"
"0.02","R30","Redhill_lib:R_1206_3216Metric","C2889962"
"51","R9,R10,R24,R32,R33,R34,R35,R36,R37,R41,R42,R43,R47,R48","Redhill_lib:R_0402_1005Metric","C2759480"
"12k","R5,R14,R15","Redhill_lib:R_0402_1005Metric","C25752"
"10k","R7,R8,R11,R18,R20,R23,R26,R27,R28,R31,R38,R39,R40,R45,R46,R49,R50","Redhill_lib:R_0402_1005Metric","C25744"
"EMI2121MTTAG","U1,U9","Redhill_lib:WDFN-8-1EP_2x2.2mm_P0.5mm_EP0.80x0.54","C464146"
"FUSB302BMPX","U10","Redhill_lib:WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm","C132291"
"FUSB303BTMX","U11","Redhill_lib:Texas_X2QFN-12_1.6x1.6mm_P0.4mm",""
"IC_MEM_AT24CSW010-STUM-T","U12","Redhill_lib:SOT-23-5","C5224830"
"IC_USB2412-DZK","U2","Redhill_lib:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias","C220647"
"3.3V, 300mA","U3","Redhill_lib:TSOP-5_1.65x3.05mm_P0.95mm","C603505"
"W25Q32JVZP","U4","Redhill_lib:USON-8_2x3mm","C2843335"
"RP2040","U5","Redhill_lib:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","C2040"
"IC_INA225","U6","Redhill_lib:VSSOP-8_3.0x3.0mm_P0.65mm","C485974"
"AP22814AW5","U7","Redhill_lib:SOT-23-5","C2680321"
"IC_FSUSB42MUX","U8","Redhill_lib:MSOP-10_3x3mm_P0.5mm","C11355"
"24MHz","Y1","Redhill_lib:Crystal_SMD_0603-4Pin_6.0x3.5mm","C2449842"
"Crystal_ECS-120-20-33_12MHz","Y2","Redhill_lib:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"